geo,year,unit,leg_stat,citizen,value
Austria,2022,NR,PER_CNV,FOR,10414.0
Austria,2022,NR,PER_PRSC,FOR,
Austria,2022,NR,PER_SUSP,FOR,128594.0
Austria,2022,P_HTHAB,PER_CNV,FOR,115.98
Austria,2022,P_HTHAB,PER_PRSC,FOR,
Austria,2022,P_HTHAB,PER_SUSP,FOR,1432.18
Austria,2023,NR,PER_CNV,FOR,11279.0
Austria,2023,NR,PER_PRSC,FOR,
Austria,2023,NR,PER_SUSP,FOR,150481.0
Austria,2023,P_HTHAB,PER_CNV,FOR,123.88
Austria,2023,P_HTHAB,PER_PRSC,FOR,
Austria,2023,P_HTHAB,PER_SUSP,FOR,1652.77
Belgium,2008,NR,PER_CNV,FOR,
Belgium,2008,NR,PER_PRSC,FOR,116565.0
Belgium,2008,NR,PER_SUSP,FOR,63397.0
Belgium,2008,P_HTHAB,PER_CNV,FOR,
Belgium,2008,P_HTHAB,PER_PRSC,FOR,1092.78
Belgium,2008,P_HTHAB,PER_SUSP,FOR,594.34
Belgium,2009,NR,PER_CNV,FOR,
Belgium,2009,NR,PER_PRSC,FOR,127744.0
Belgium,2009,NR,PER_SUSP,FOR,66596.0
Belgium,2009,P_HTHAB,PER_CNV,FOR,
Belgium,2009,P_HTHAB,PER_PRSC,FOR,1187.98
Belgium,2009,P_HTHAB,PER_SUSP,FOR,619.32
Belgium,2010,NR,PER_CNV,FOR,21553.0
Belgium,2010,NR,PER_PRSC,FOR,136707.0
Belgium,2010,NR,PER_SUSP,FOR,65993.0
Belgium,2010,P_HTHAB,PER_CNV,FOR,198.83
Belgium,2010,P_HTHAB,PER_PRSC,FOR,1261.15
Belgium,2010,P_HTHAB,PER_SUSP,FOR,608.8
Belgium,2011,NR,PER_CNV,FOR,23541.0
Belgium,2011,NR,PER_PRSC,FOR,144324.0
Belgium,2011,NR,PER_SUSP,FOR,70722.0
Belgium,2011,P_HTHAB,PER_CNV,FOR,214.0
Belgium,2011,P_HTHAB,PER_PRSC,FOR,1311.96
Belgium,2011,P_HTHAB,PER_SUSP,FOR,642.89
Belgium,2012,NR,PER_CNV,FOR,28623.0
Belgium,2012,NR,PER_PRSC,FOR,133973.0
Belgium,2012,NR,PER_SUSP,FOR,71801.0
Belgium,2012,P_HTHAB,PER_CNV,FOR,257.98
Belgium,2012,P_HTHAB,PER_PRSC,FOR,1207.52
Belgium,2012,P_HTHAB,PER_SUSP,FOR,647.16
Belgium,2013,NR,PER_CNV,FOR,28530.0
Belgium,2013,NR,PER_PRSC,FOR,133694.0
Belgium,2013,NR,PER_SUSP,FOR,72392.0
Belgium,2013,P_HTHAB,PER_CNV,FOR,255.61
Belgium,2013,P_HTHAB,PER_PRSC,FOR,1197.8
Belgium,2013,P_HTHAB,PER_SUSP,FOR,648.58
Belgium,2014,NR,PER_CNV,FOR,24628.0
Belgium,2014,NR,PER_PRSC,FOR,132371.0
Belgium,2014,NR,PER_SUSP,FOR,72651.0
Belgium,2014,P_HTHAB,PER_CNV,FOR,220.27
Belgium,2014,P_HTHAB,PER_PRSC,FOR,1183.91
Belgium,2014,P_HTHAB,PER_SUSP,FOR,649.78
Belgium,2015,NR,PER_CNV,FOR,28355.0
Belgium,2015,NR,PER_PRSC,FOR,160137.0
Belgium,2015,NR,PER_SUSP,FOR,59350.0
Belgium,2015,P_HTHAB,PER_CNV,FOR,252.33
Belgium,2015,P_HTHAB,PER_PRSC,FOR,1425.05
Belgium,2015,P_HTHAB,PER_SUSP,FOR,528.15
Belgium,2016,NR,PER_CNV,FOR,
Belgium,2016,NR,PER_PRSC,FOR,159976.0
Belgium,2016,NR,PER_SUSP,FOR,65392.0
Belgium,2016,P_HTHAB,PER_CNV,FOR,
Belgium,2016,P_HTHAB,PER_PRSC,FOR,1414.33
Belgium,2016,P_HTHAB,PER_SUSP,FOR,578.12
Belgium,2017,NR,PER_CNV,FOR,53018.0
Belgium,2017,NR,PER_PRSC,FOR,156271.0
Belgium,2017,NR,PER_SUSP,FOR,68898.0
Belgium,2017,P_HTHAB,PER_CNV,FOR,467.05
Belgium,2017,P_HTHAB,PER_PRSC,FOR,1376.63
Belgium,2017,P_HTHAB,PER_SUSP,FOR,606.94
Belgium,2018,NR,PER_CNV,FOR,51534.0
Belgium,2018,NR,PER_PRSC,FOR,158898.0
Belgium,2018,NR,PER_SUSP,FOR,71527.0
Belgium,2018,P_HTHAB,PER_CNV,FOR,452.11
Belgium,2018,P_HTHAB,PER_PRSC,FOR,1394.01
Belgium,2018,P_HTHAB,PER_SUSP,FOR,627.51
Belgium,2019,NR,PER_CNV,FOR,45414.0
Belgium,2019,NR,PER_PRSC,FOR,161605.0
Belgium,2019,NR,PER_SUSP,FOR,73596.0
Belgium,2019,P_HTHAB,PER_CNV,FOR,396.44
Belgium,2019,P_HTHAB,PER_PRSC,FOR,1410.72
Belgium,2019,P_HTHAB,PER_SUSP,FOR,642.45
Belgium,2020,NR,PER_CNV,FOR,35396.0
Belgium,2020,NR,PER_PRSC,FOR,162394.0
Belgium,2020,NR,PER_SUSP,FOR,110359.0
Belgium,2020,P_HTHAB,PER_CNV,FOR,307.19
Belgium,2020,P_HTHAB,PER_PRSC,FOR,1409.37
Belgium,2020,P_HTHAB,PER_SUSP,FOR,957.77
Belgium,2021,NR,PER_CNV,FOR,
Belgium,2021,NR,PER_PRSC,FOR,149751.0
Belgium,2021,NR,PER_SUSP,FOR,85358.0
Belgium,2021,P_HTHAB,PER_CNV,FOR,
Belgium,2021,P_HTHAB,PER_PRSC,FOR,1296.01
Belgium,2021,P_HTHAB,PER_SUSP,FOR,738.73
Belgium,2022,NR,PER_CNV,FOR,
Belgium,2022,NR,PER_PRSC,FOR,131511.0
Belgium,2022,NR,PER_SUSP,FOR,73400.0
Belgium,2022,P_HTHAB,PER_CNV,FOR,
Belgium,2022,P_HTHAB,PER_PRSC,FOR,1132.0
Belgium,2022,P_HTHAB,PER_SUSP,FOR,631.8
Belgium,2023,NR,PER_CNV,FOR,
Belgium,2023,NR,PER_PRSC,FOR,136806.0
Belgium,2023,NR,PER_SUSP,FOR,75629.0
Belgium,2023,P_HTHAB,PER_CNV,FOR,
Belgium,2023,P_HTHAB,PER_PRSC,FOR,1165.02
Belgium,2023,P_HTHAB,PER_SUSP,FOR,644.05
Bosnia and Herzegovina,2008,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2008,NR,PER_PRSC,FOR,15.0
Bosnia and Herzegovina,2008,NR,PER_SUSP,FOR,
Bosnia and Herzegovina,2008,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2008,P_HTHAB,PER_PRSC,FOR,0.39
Bosnia and Herzegovina,2008,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2009,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2009,NR,PER_PRSC,FOR,20.0
Bosnia and Herzegovina,2009,NR,PER_SUSP,FOR,
Bosnia and Herzegovina,2009,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2009,P_HTHAB,PER_PRSC,FOR,0.52
Bosnia and Herzegovina,2009,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2010,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2010,NR,PER_PRSC,FOR,52.0
Bosnia and Herzegovina,2010,NR,PER_SUSP,FOR,3641.0
Bosnia and Herzegovina,2010,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2010,P_HTHAB,PER_PRSC,FOR,1.35
Bosnia and Herzegovina,2010,P_HTHAB,PER_SUSP,FOR,94.72
Bosnia and Herzegovina,2011,NR,PER_CNV,FOR,39.0
Bosnia and Herzegovina,2011,NR,PER_PRSC,FOR,76.0
Bosnia and Herzegovina,2011,NR,PER_SUSP,FOR,
Bosnia and Herzegovina,2011,P_HTHAB,PER_CNV,FOR,1.01
Bosnia and Herzegovina,2011,P_HTHAB,PER_PRSC,FOR,1.98
Bosnia and Herzegovina,2011,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2012,NR,PER_CNV,FOR,43.0
Bosnia and Herzegovina,2012,NR,PER_PRSC,FOR,53.0
Bosnia and Herzegovina,2012,NR,PER_SUSP,FOR,
